"Level","Date and Time","Source","Event ID","Task Category","Message"
"Information","14-02-2025 00:30:30","Microsoft-Windows-Time-Service","158",,"The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well."
"Information","14-02-2025 00:23:22","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\Users\nikha\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages."
"Information","14-02-2025 00:23:22","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\Users\nikha\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat was cleared updating 12 keys and creating 2 modified pages."
"Information","14-02-2025 00:23:22","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\Users\nikha\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\SystemAppData\Helium\User.dat was cleared updating 13 keys and creating 2 modified pages."
"Information","14-02-2025 00:13:26","Microsoft-Windows-Time-Service","158",,"The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well."
"Information","14-02-2025 00:02:48","Microsoft-Windows-UserModePowerService","12",,"Process C:\Program Files\WindowsApps\AcerIncorporated.NitroSenseV31_3.1.3028.0_x64__48frkmn4z8aw4\Win32\NitroSense.exe (process ID:4476) reset policy scheme from {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c} to {8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c}"
"Information","14-02-2025 00:02:45","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\ProgramData\Packages\AcerIncorporated.NitroSenseV31_48frkmn4z8aw4\S-1-5-21-2656982214-1151715741-1556899019-1001\SystemAppData\Helium\Cache\ecf837328c0ae78f_COM15.dat was cleared updating 1 keys and creating 1 modified pages."
"Information","14-02-2025 00:02:45","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\Users\nikha\AppData\Local\Packages\AcerIncorporated.NitroSenseV31_48frkmn4z8aw4\SystemAppData\Helium\UserClasses.dat was cleared updating 4 keys and creating 1 modified pages."
"Information","14-02-2025 00:02:45","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\Users\nikha\AppData\Local\Packages\AcerIncorporated.NitroSenseV31_48frkmn4z8aw4\SystemAppData\Helium\User.dat was cleared updating 8 keys and creating 2 modified pages."
"Information","14-02-2025 00:01:17","Microsoft-Windows-HttpService","114","HTTP Configuration Property Trace Task","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000920000002). Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:33","Microsoft-Windows-HttpService","113","HTTP Configuration Property Trace Task","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000920000002). Status: 0x0. Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:33","Microsoft-Windows-HttpService","114","HTTP Configuration Property Trace Task","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000220000002). Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:33","Microsoft-Windows-HttpService","113","HTTP Configuration Property Trace Task","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000220000002). Status: 0x0. Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:33","Microsoft-Windows-HttpService","114","HTTP Configuration Property Trace Task","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000620000003). Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:24","Microsoft-Windows-HttpService","113","HTTP Configuration Property Trace Task","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000620000003). Status: 0x0. Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:24","Microsoft-Windows-HttpService","114","HTTP Configuration Property Trace Task","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000620000002). Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:24","Microsoft-Windows-HttpService","113","HTTP Configuration Property Trace Task","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000620000002). Status: 0x0. Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:24","Microsoft-Windows-HttpService","114","HTTP Configuration Property Trace Task","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000520000001). Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:03","Microsoft-Windows-HttpService","113","HTTP Configuration Property Trace Task","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000520000001). Status: 0x0. Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:03","Microsoft-Windows-HttpService","114","HTTP Configuration Property Trace Task","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000220000001). Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:03","Microsoft-Windows-HttpService","113","HTTP Configuration Property Trace Task","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000220000001). Status: 0x0. Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","14-02-2025 00:00:03","Microsoft-Windows-HttpService","114","HTTP Configuration Property Trace Task","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000720000001). Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","13-02-2025 23:58:18","Microsoft-Windows-HttpService","113","HTTP Configuration Property Trace Task","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000720000001). Status: 0x0. Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","13-02-2025 23:58:18","Microsoft-Windows-HttpService","114","HTTP Configuration Property Trace Task","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000020000002). Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","13-02-2025 23:58:18","Microsoft-Windows-HttpService","113","HTTP Configuration Property Trace Task","Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000020000002). Status: 0x0. Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","13-02-2025 23:56:53","Microsoft-Windows-WindowsUpdateClient","19","Windows Update Agent","Installation Successful: Windows successfully installed the following update: Windows Malicious Software Removal Tool x64 - v5.132 (KB890830)"
"Information","13-02-2025 23:56:22","Microsoft-Windows-Time-Service","158",,"The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well."
"Information","13-02-2025 23:56:17","Service Control Manager","7040",,"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start."
"Warning","13-02-2025 23:56:07","Microsoft-Windows-DistributedCOM","10016",,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user SaNskar\nikha SID (S-1-5-21-2656982214-1151715741-1556899019-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"Information","13-02-2025 23:54:15","Microsoft-Windows-WindowsUpdateClient","43","Windows Update Agent","Installation Started: Windows has started installing the following update: Windows Malicious Software Removal Tool x64 - v5.132 (KB890830)"
"Information","13-02-2025 23:53:31","Service Control Manager","7040",,"The start type of the Windows Modules Installer service was changed from auto start to demand start."
"Information","13-02-2025 23:53:28","Service Control Manager","7040",,"The start type of the Windows Modules Installer service was changed from demand start to auto start."
"Information","13-02-2025 23:51:26","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\ProgramData\Packages\MSTeams_8wekyb3d8bbwe\S-1-5-21-2656982214-1151715741-1556899019-1001\SystemAppData\Helium\Cache\cc5b57e35950501a_COM15.dat was cleared updating 1 keys and creating 1 modified pages."
"Information","13-02-2025 23:50:13","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsAppRuntime.1.6_6000.401.2352.0_x86__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages."
"Information","13-02-2025 23:47:55","Microsoft-Windows-WindowsUpdateClient","44","Windows Update Agent","Windows Update started downloading an update."
"Information","13-02-2025 23:47:50","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsAppRuntime.1.6_6000.401.2352.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages."
"Information","13-02-2025 23:47:46","Service Control Manager","7040",,"The start type of the Windows Modules Installer service was changed from auto start to demand start."
"Information","13-02-2025 23:44:55","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.CrossDevice_1.25012.50.0_x64__cw5n1h2txyewy\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages."
"Information","13-02-2025 23:44:07","Service Control Manager","7040",,"The start type of the Windows Modules Installer service was changed from demand start to auto start."
"Information","13-02-2025 23:42:20","Microsoft-Windows-HttpService","114","HTTP Configuration Property Trace Task","Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000920000001). Process Id 0x8DC Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User S-1-5-19"
"Information","13-02-2025 23:42:20","Service Control Manager","7040",,"The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start."
"Information","13-02-2025 23:42:18","Microsoft-Windows-WindowsUpdateClient","44","Windows Update Agent","Windows Update started downloading an update."
"Information","13-02-2025 23:42:18","Microsoft-Windows-WindowsUpdateClient","44","Windows Update Agent","Windows Update started downloading an update."
"Information","13-02-2025 23:42:09","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.MicrosoftOfficeHub_18.2502.1081.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages."
"Information","13-02-2025 23:40:59","Microsoft-Windows-WindowsUpdateClient","19","Windows Update Agent","Installation Successful: Windows successfully installed the following update: 9N4WGH0Z6VHQ-Microsoft.HEVCVideoExtension"
"Information","13-02-2025 23:40:58","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\Users\nikha\AppData\Local\Packages\Microsoft.HEVCVideoExtension_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 1 keys and creating 1 modified pages."
"Information","13-02-2025 23:40:58","Microsoft-Windows-WindowsUpdateClient","43","Windows Update Agent","Installation Started: Windows has started installing the following update: 9N4WGH0Z6VHQ-Microsoft.HEVCVideoExtension"
"Information","13-02-2025 23:39:55","Service Control Manager","7045",,"A service was installed in the system.

Service Name:  MpKsl222fede7
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{81E9138F-6A3F-4CC5-B038-A4613D8B7C53}\MpKslDrv.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
"Information","13-02-2025 23:39:44","Microsoft-Windows-WindowsUpdateClient","44","Windows Update Agent","Windows Update started downloading an update."
"Information","13-02-2025 23:39:44","Microsoft-Windows-WindowsUpdateClient","44","Windows Update Agent","Windows Update started downloading an update."
"Information","13-02-2025 23:39:44","Microsoft-Windows-WindowsUpdateClient","44","Windows Update Agent","Windows Update started downloading an update."
