Level,Date and Time,Source,Event ID,Message,Threshold
Information,14-02-2025 01:23:45,Microsoft-Windows-UserModePowerService,12,rocess rogram iles indows pps cer ncorporated itro ense x frkmn z aw in itro ense exe process reset policy scheme from { c e fda e bf a a a e a c c} to { c e fda e bf a a a e a c c},
Information,14-02-2025 00:47:34,Microsoft-Windows-Time-Service,158,he time provider ime rovider has indicated that the current hardware and operating environment is not supported and has stopped his behavior is expected for ime rovider on non yper guest environments his may be the expected behavior for the current provider in the current operating environment as well,
Information,14-02-2025 00:23:22,Microsoft-Windows-Kernel-General,16,he access history in hive sers nikha pp ata ocal ackages icrosoft creen ketch wekyb d bbwe ettings settings dat was cleared updating keys and creating modified pages,
Information,14-02-2025 00:23:22,Microsoft-Windows-Kernel-General,16,he access history in hive sers nikha pp ata ocal ackages icrosoft creen ketch wekyb d bbwe ystem pp ata elium ser lasses dat was cleared updating keys and creating modified pages,
Information,14-02-2025 00:23:22,Microsoft-Windows-Kernel-General,16,he access history in hive sers nikha pp ata ocal ackages icrosoft creen ketch wekyb d bbwe ystem pp ata elium ser dat was cleared updating keys and creating modified pages,
Information,14-02-2025 00:02:45,Microsoft-Windows-Kernel-General,16,he access history in hive rogram ata ackages cer ncorporated itro ense frkmn z aw ystem pp ata elium ache ecf c ae f dat was cleared updating keys and creating modified pages,
Information,14-02-2025 00:02:45,Microsoft-Windows-Kernel-General,16,he access history in hive sers nikha pp ata ocal ackages cer ncorporated itro ense frkmn z aw ystem pp ata elium ser lasses dat was cleared updating keys and creating modified pages,
Information,14-02-2025 00:02:45,Microsoft-Windows-Kernel-General,16,he access history in hive sers nikha pp ata ocal ackages cer ncorporated itro ense frkmn z aw ystem pp ata elium ser dat was cleared updating keys and creating modified pages,
Information,14-02-2025 00:01:17,Microsoft-Windows-HttpService,114,emoved http upnp eventing from group x rocess d x xecutable path evice arddisk olume indows ystem svchost exe ser,
Information,14-02-2025 00:00:33,Microsoft-Windows-HttpService,113,ttempted to add http upnp eventing to group x tatus x rocess d x xecutable path evice arddisk olume indows ystem svchost exe ser,
Information,13-02-2025 23:56:17,Service Control Manager,7040,he start type of the ackground ntelligent ransfer ervice service was changed from demand start to auto start,
Warning,13-02-2025 23:56:07,Microsoft-Windows-DistributedCOM,10016,he application specific permission settings do not grant ocal ctivation permission for the erver application with { } and { } to the user a skar nikha from address ocal ost sing running in the application container navailable navailable his security permission can be modified using the omponent ervices administrative tool,
Information,13-02-2025 23:54:15,Microsoft-Windows-WindowsUpdateClient,43,nstallation tarted indows has started installing the following update indows alicious oftware emoval ool x v,
Information,13-02-2025 23:53:31,Service Control Manager,7040,he start type of the indows odules nstaller service was changed from auto start to demand start,
Information,13-02-2025 23:53:28,Service Control Manager,7040,he start type of the indows odules nstaller service was changed from demand start to auto start,
Information,13-02-2025 23:51:26,Microsoft-Windows-Kernel-General,16,he access history in hive rogram ata ackages eams wekyb d bbwe ystem pp ata elium ache cc b e a dat was cleared updating keys and creating modified pages,
Information,13-02-2025 23:50:13,Microsoft-Windows-Kernel-General,16,he access history in hive rogram ata icrosoft indows pp epository ackages icrosoft indows pp untime x wekyb d bbwe ctivation tore dat was cleared updating keys and creating modified pages,
Information,13-02-2025 23:47:55,Microsoft-Windows-WindowsUpdateClient,44,indows pdate started downloading an update,
Information,13-02-2025 23:44:55,Microsoft-Windows-Kernel-General,16,he access history in hive rogram ata icrosoft indows pp epository ackages icrosoft indows ross evice x cw n h txyewy ctivation tore dat was cleared updating keys and creating modified pages,
Information,13-02-2025 23:42:20,Service Control Manager,7040,he start type of the ackground ntelligent ransfer ervice service was changed from auto start to demand start,
Information,13-02-2025 23:42:09,Microsoft-Windows-Kernel-General,16,he access history in hive rogram ata icrosoft indows pp epository ackages icrosoft icrosoft ffice ub x wekyb d bbwe ctivation tore dat was cleared updating keys and creating modified pages,
Information,13-02-2025 23:40:58,Microsoft-Windows-Kernel-General,16,he access history in hive sers nikha pp ata ocal ackages icrosoft ideo xtension wekyb d bbwe ettings settings dat was cleared updating keys and creating modified pages,
Information,13-02-2025 23:40:58,Microsoft-Windows-WindowsUpdateClient,43,nstallation tarted indows has started installing the following update icrosoft ideo xtension,
Information,13-02-2025 23:39:55,Service Control Manager,7045,service was installed in the system ervice ame p sl fede ervice ile ame rogram ata icrosoft indows efender efinition pdates { } p sl rv sys ervice ype kernel mode driver ervice tart ype demand start ervice ccount,
Information,13-02-2025 23:39:02,Microsoft-Windows-Time-Service,37,he time provider tp lient is currently receiving valid time data from time windows com x ntp m x,
Information,13-02-2025 23:38:18,Microsoft-Windows-Kernel-General,16,he access history in hive olume{b c b e c f d dd c e } ystem olume nformation pp bs ive tore {cd efe f f c b c a }{ } was cleared updating keys and creating modified pages,
Information,13-02-2025 23:38:13,Microsoft-Windows-Kernel-General,11,x init phase for hive evice arddisk olume hadow opy ystem config { f e e e ef ca aa } { f e e e ef ca aa } finished with result x nternal code,
Information,13-02-2025 23:38:13,Microsoft-Windows-Kernel-General,16,he access history in hive evice arddisk olume hadow opy ystem config was cleared updating keys and creating modified pages,
Information,13-02-2025 23:38:10,Microsoft-Windows-Ntfs,98,olume evice arddisk olume hadow opy is healthy o action is needed,
Information,13-02-2025 23:37:34,Microsoft-Windows-Kernel-General,16,he access history in hive ystem oot ystem config was cleared updating keys and creating modified pages,
Information,13-02-2025 23:37:31,Microsoft-Windows-Kernel-General,16,he access history in hive rogram ata icrosoft rovisioning icrosoft esktop rovisioning equence dat was cleared updating keys and creating modified pages,
Information,13-02-2025 23:31:12,Microsoft-Windows-WindowsUpdateClient,43,nstallation tarted indows has started installing the following update ecurity ntelligence pdate for icrosoft efender ntivirus ersion urrent hannel road,
Information,13-02-2025 23:30:13,BTHUSB,18,indows cannot store luetooth authentication codes link keys on the local adapter luetooth keyboards might not work in the system during startup,
Information,13-02-2025 23:28:24,Microsoft-Windows-Kernel-General,16,he access history in hive sers nikha pp ata ocal ackages icrosoft indows tore wekyb d bbwe ettings settings dat was cleared updating keys and creating modified pages,
Information,13-02-2025 23:28:23,Microsoft-Windows-Kernel-General,16,he access history in hive sers nikha pp ata ocal ackages icrosoft indows eedback ub wekyb d bbwe ettings settings dat was cleared updating keys and creating modified pages,
Information,13-02-2025 23:28:22,Microsoft-Windows-Kernel-General,16,he access history in hive sers nikha pp ata ocal ackages icrosoft indows ontent elivery anager cw n h txyewy ettings settings dat was cleared updating keys and creating modified pages,
